Date,National contribution to the euro area monetary base,Currency in circulation,Current account holdings of credit institutions with Latvijas Banka,Deposit facility,Credit,To MFIs in the euro area,To general government in the euro area,To other resident sectors in the euro area,External assets outside euro area,External liabilities outside euro area,ECB_Deposit_Rate
01-01-2014,5831.9,3779.6,1417.3,635,1683.9,522.8,298.6,862.5,2768.3,46.5,0
01-02-2014,5905.9,3727.9,1218.9,959.1,1595.5,434.8,298.7,862,2734.1,20.5,0
01-03-2014,5852.2,3715.4,1191.8,945,1615.9,451.6,283.2,881.1,2752.2,3.3,0
01-04-2014,5692.5,3736.3,1206.2,750,1611.7,487.8,273,850.9,2729,28.4,0
01-05-2014,5785.1,3745.6,999.5,1040,1583.2,493.3,273.6,816.3,2813.4,62,0
01-06-2014,4762.3,3753.7,1008.6,0,1577.6,483.5,272.7,821.4,2796.3,9.3,-0.1
01-07-2014,4528.9,3783,745.9,0,1586.4,497.2,272.7,816.5,2815.4,5.2,-0.1
01-08-2014,4492.1,3789.9,702.2,0,1577.2,496.2,274.1,806.9,2830.6,28.9,-0.1
01-09-2014,4627.5,3788.6,838.9,0,1656.9,564.9,273.5,818.5,2837.6,5.4,-0.2
01-10-2014,4429.1,3803,626.1,0,1628.8,560.7,281.2,786.9,2798.4,23.2,-0.2
01-11-2014,4617.1,3824.7,792.4,0,1634.4,557.5,281.1,795.8,2764.3,73.7,-0.2
01-12-2014,6381.1,3957.7,2073.4,350,1671.7,571.5,306.5,793.7,2867.1,24,-0.2
01-01-2015,4964,3742.1,1221.9,0,1987.6,755.2,688.7,543.7,3296.5,27.3,-0.2
01-02-2015,5575.5,3753.7,1821.8,0,2069.2,792.5,719.4,557.3,3183.7,14.7,-0.2
01-03-2015,5685.7,3788.8,1896.9,0,2285.9,833.9,780.9,671.1,3237.8,10.4,-0.2
01-04-2015,6346.1,3826.6,2519.5,0,2437.7,804.4,952.2,681.1,3113.4,14,-0.2
01-05-2015,6434.1,3846.9,2587.2,0,2659.8,820.3,1211.8,627.7,3248.4,5,-0.2
01-06-2015,6557.4,3885,2672.4,0,2902,851.4,1243.9,806.7,3189.3,5.8,-0.2
01-07-2015,6661,3941.2,2719.8,0,3103.1,851,1274.6,977.5,3193.1,20.6,-0.2
01-08-2015,6688.5,3932.6,2755.9,0,3132.6,830,1194.9,1107.7,3264.7,22.5,-0.2
01-09-2015,7062.8,3925.9,3136.9,0,3325.1,837.3,1273.1,1214.7,3358.9,2.3,-0.2
01-10-2015,7101.6,3932.4,3169.2,0,3554.9,870.7,1287.1,1397.1,3417.8,0.6,-0.2
01-11-2015,7375.1,3951.7,3423.4,0,3676.3,879.3,1202.1,1594.9,3430.2,3.5,-0.2
01-12-2015,8829.3,4044.9,4784.4,0,3822.8,885.5,1206.4,1730.9,3327.1,9.6,-0.3
01-01-2016,7944.4,3968.1,3976.3,0,4155.3,852.2,1387.2,1915.9,3451.3,1.8,-0.3
01-02-2016,8115,3970,4145,0,4592.6,922.7,1782.1,1887.8,3678.2,3.8,-0.3
01-03-2016,7544.8,3998.8,3546,0,4706.4,836.7,2003.8,1865.9,3602.2,9.8,-0.4
01-04-2016,7790.6,4008.7,3781.9,0,4754,871,2016.8,1866.2,3877.9,4.6,-0.4
01-05-2016,7735.5,4023.3,3712.2,0,4803.9,895.9,2051.5,1856.5,4161.3,1.1,-0.4
01-06-2016,7118.5,4058.5,3060,0,4848.4,891.3,2100.7,1856.4,4378.7,9.7,-0.4
01-07-2016,7755.3,4099,3656.3,0,4898.8,916.2,2129.6,1853,4369.3,1.4,-0.4
01-08-2016,7678.8,4085.7,3593.1,0,4908.7,909.4,2160.8,1838.5,4519,3.3,-0.4
01-09-2016,7991,4098.2,3892.8,0,4790.9,663.8,2296.6,1830.5,5072.9,3.9,-0.4
01-10-2016,8315.6,4119,4196.6,0,4846.8,698.1,2316.6,1832.1,5296.8,3.8,-0.4
01-11-2016,8376.8,4125.5,4251.3,0,4834.1,710.7,2273.7,1849.7,5545.2,1.1,-0.4
01-12-2016,8401.9,4210.8,4191.1,0,4795.8,657.4,2298.2,1840.2,5620,17.9,-0.4
01-01-2017,8058,4147.8,3910.2,0,4689,595,2266.1,1827.9,5787.4,6.5,-0.4
01-02-2017,8149.8,4155.4,3994.4,0,4156.9,596.1,1722.3,1838.5,6125.3,1.1,-0.4
01-03-2017,7969.6,4166.4,3803.2,0,4207.8,585.2,1769.9,1852.7,6262.7,9.1,-0.4
01-04-2017,8494.9,4205.9,4289,0,4261,590.9,1816.2,1853.9,6385.7,13.5,-0.4
01-05-2017,8204.4,4209.5,3994.9,0,4258,560.2,1845.7,1852.1,6569,24.3,-0.4
01-06-2017,8255.1,4250.1,4005,0,3720,551.3,1318.3,1850.4,6780.2,11.1,-0.4
01-07-2017,8070.3,4272.6,3797.7,0,4194.3,537.4,1843.3,1813.6,6962.3,19.8,-0.4
01-08-2017,8327.3,4267.9,4059.4,0,4191.9,512.3,1866.9,1812.7,7164.1,23.5,-0.4
01-09-2017,8428,4277.2,4150.8,0,4206.6,495.6,1891.7,1819.3,7409.7,4.9,-0.4
01-10-2017,9384.4,4290.6,5093.8,0,4205.6,483,1920.5,1802.1,7630.9,1.1,-0.4
01-11-2017,9332.3,4285.1,5047.2,0,4420.5,514.2,2075.1,1831.2,8087.5,12.2,-0.4
01-12-2017,10115.1,4381.2,5733.9,0,4477.7,512.3,2119,1846.4,8194.4,3.2,-0.4
01-01-2018,9911,4294,5617,0,4531.8,502.9,2148.7,1880.2,8115.8,25.4,-0.4
01-02-2018,9374.3,4295,5079.3,0,4815.8,739.6,2181.3,1894.9,8282.3,6.7,-0.4
01-03-2018,9685.2,4356.8,5328.4,0,4531.2,489.6,2137.5,1904.1,8315.1,4.6,-0.4
01-04-2018,10110.6,4366,5744.6,0,4552.9,483.5,2154.5,1914.9,8454,1.1,-0.4
01-05-2018,9679.9,4384.7,5295.2,0,4561.4,451,2197.6,1912.8,8553.1,1.1,-0.4
01-06-2018,9712.6,4424.1,5288.5,0,4400.8,244.6,2246,1910.2,8519.4,1.6,-0.4
01-07-2018,8445.1,4455,3990.1,0,4421.7,283.4,2280.7,1857.6,8569.9,1.3,-0.4
01-08-2018,8662.6,4468.8,4193.8,0,4362.4,227.2,2293.4,1841.8,8683.8,11.2,-0.4
01-09-2018,8657.9,4477.2,4180.7,0,4356.6,226.8,2294.4,1835.4,8743.1,5.5,-0.4
01-10-2018,8825.2,4495,4330.2,0,4394.6,229.9,2306.3,1858.4,8851,1,-0.4
01-11-2018,8863.4,4507.9,4355.5,0,4376.9,212.9,2308.7,1855.3,8749.3,1,-0.4
01-12-2018,9670.3,4610.2,5060.1,0,4368.6,195.4,2308.7,1864.5,8717.1,131.8,-0.4
01-01-2019,9041.1,4435.7,4605.4,0,4401.5,221.6,2315.9,1864,8774.3,241.2,-0.4
01-02-2019,9034.7,4443.5,4591.2,0,4396.5,233.1,2302,1861.4,8810.8,305.6,-0.4
01-03-2019,8817.2,4462.5,4354.7,0,4408,239.2,2309.7,1859.1,8840.6,756.8,-0.4
01-04-2019,8943.6,4510.7,4432.9,0,4429.1,241.4,2337.4,1850.3,8857.8,1508.2,-0.4
